Year,Jurisdiction,Fate,Tonnes
2006,ACT,Disposal,920472.1493162521
2006,ACT,Energy recovery,228514.00391736417
2006,ACT,Recycling,1768229.998270386
2006,NSW,Disposal,28763265.129990183
2006,NSW,Energy recovery,3429205.471536222
2006,NSW,Long-term storage,22520596.238619037
2006,NSW,Recycling,59180340.79085779
2006,NT,Disposal,2159947.354747177
2006,NT,Energy recovery,102728.93649700124
2006,NT,Recycling,247274.56065738876
2006,Qld,Disposal,24892695.19544524
2006,Qld,Energy recovery,2416990.596483252
2006,Qld,Long-term storage,25155821.783951886
2006,Qld,Recycling,18870513.13746384
2006,SA,Disposal,3390415.4680153634
2006,SA,Energy recovery,949133.2587657726
2006,SA,Long-term storage,1038038.5085782438
2006,SA,Recycling,11228959.334985811
2006,Tas,Disposal,2360955.913584829
2006,Tas,Energy recovery,240545.9776115999
2006,Tas,Recycling,1655063.7984130702
2006,Vic,Disposal,27353205.928480413
2006,Vic,Energy recovery,2383237.261348164
2006,Vic,Long-term storage,8044915.629250405
2006,Vic,Recycling,37753560.59321702
2006,WA,Disposal,17428971.122179195
2006,WA,Energy recovery,1200863.0713030905
2006,WA,Long-term storage,3685461.8396004285
2006,WA,Recycling,10924326.534150414
2007,ACT,Disposal,21176.12225391358
2007,ACT,Energy recovery,6445.529330141859
2007,ACT,Recycling,33903.85334679726
2007,NSW,Disposal,4189220.7698879135
2007,NSW,Energy recovery,341565.00194034947
2007,NSW,Recycling,2171997.820388506
2007,NT,Disposal,80689.74744816302
2007,NT,Energy recovery,11609.47464143513
2007,NT,Recycling,95935.47496143226
2007,Qld,Disposal,10988466.228822434
2007,Qld,Energy recovery,151724.72261521954
2007,Qld,Recycling,2775464.513966273
2007,SA,Disposal,1116996.292410664
2007,SA,Energy recovery,103270.43928437027
2007,SA,Recycling,881135.9660629199
2007,Tas,Disposal,361373.45608121855
2007,Tas,Energy recovery,16523.701373371518
2007,Tas,Recycling,1242618.097534424
2007,Vic,Disposal,4620408.215976155
2007,Vic,Energy recovery,223886.4451043375
2007,Vic,Recycling,2182231.7691723877
2007,WA,Disposal,620449.8115643349
2007,WA,Energy recovery,95683.37121519669
2007,WA,Recycling,1896142.6800784525
2008,ACT,Disposal,1008980.7747180148
2008,ACT,Energy recovery,182295.21673022563
2008,ACT,Recycling,1821054.0175646376
2008,NSW,Disposal,35035839.4467096
2008,NSW,Energy recovery,3460065.759088981
2008,NSW,Long-term storage,26872982.78938471
2008,NSW,Recycling,60498119.83032255
2008,NT,Disposal,1317064.151071513
2008,NT,Energy recovery,154371.10934483743
2008,NT,Recycling,255282.92189626116
2008,Qld,Disposal,26010547.2908753
2008,Qld,Energy recovery,2212815.771246403
2008,Qld,Long-term storage,24737276.31945824
2008,Qld,Recycling,19047922.91707231
2008,SA,Disposal,3389400.22825859
2008,SA,Energy recovery,961587.8611311459
2008,SA,Long-term storage,1278592.3434256022
2008,SA,Recycling,11841462.620601881
2008,Tas,Disposal,1947514.6898461042
2008,Tas,Energy recovery,361273.8429286653
2008,Tas,Recycling,1679811.9350860678
2008,Vic,Disposal,24971316.76482369
2008,Vic,Energy recovery,2483221.2680546143
2008,Vic,Long-term storage,6473883.168779325
2008,Vic,Recycling,37167012.014244
2008,WA,Disposal,18002249.791846886
2008,WA,Energy recovery,1352683.2496138678
2008,WA,Long-term storage,4397723.378952133
2008,WA,Recycling,10650563.384978577
2009,ACT,Disposal,853930.0457018601
2009,ACT,Energy recovery,170295.77665076946
2009,ACT,Recycling,1823797.9780914579
2009,NSW,Disposal,29251863.551381215
2009,NSW,Energy recovery,3488106.9124582764
2009,NSW,Long-term storage,21242236.479244478
2009,NSW,Recycling,65055996.394989684
2009,NT,Disposal,1332740.1836258345
2009,NT,Energy recovery,161535.8542053293
2009,NT,Recycling,233506.74280891244
2009,Qld,Disposal,24704799.672637954
2009,Qld,Energy recovery,2316744.801319921
2009,Qld,Long-term storage,24237885.031280972
2009,Qld,Recycling,17468195.47309256
2009,SA,Disposal,3300135.292569597
2009,SA,Energy recovery,960877.8141402372
2009,SA,Long-term storage,1494112.5176654651
2009,SA,Recycling,11689876.324837018
2009,Tas,Disposal,2009502.7995471314
2009,Tas,Energy recovery,259679.02995869605
2009,Tas,Recycling,2014196.1028251864
2009,Vic,Disposal,24480631.122517437
2009,Vic,Energy recovery,2500686.6052605994
2009,Vic,Long-term storage,7896454.791904347
2009,Vic,Recycling,44877288.17357379
2009,WA,Disposal,23167763.791193634
2009,WA,Energy recovery,1014371.3595314699
2009,WA,Long-term storage,3476260.179904733
2009,WA,Recycling,12816697.870541852
2010,ACT,Disposal,1142134.1327376084
2010,ACT,Energy recovery,170633.3816945506
2010,ACT,Recycling,2529795.1674385713
2010,NSW,Disposal,28343290.74021164
2010,NSW,Energy recovery,3798371.0424783938
2010,NSW,Long-term storage,10866184.884525055
2010,NSW,Recycling,73699333.1049376
2010,NT,Disposal,1346711.1813254107
2010,NT,Energy recovery,103864.69728484184
2010,NT,Recycling,236043.2901583952
2010,Qld,Disposal,22061104.35923707
2010,Qld,Energy recovery,2171414.6950741843
2010,Qld,Long-term storage,23281392.178457353
2010,Qld,Recycling,19535574.59705104
2010,SA,Disposal,3713168.1559750335
2010,SA,Energy recovery,945265.5709190897
2010,SA,Long-term storage,1225787.9737770255
2010,SA,Recycling,14133093.042792112
2010,Tas,Disposal,2284023.8513344117
2010,Tas,Energy recovery,264975.2594997363
2010,Tas,Recycling,2130538.857104921
2010,Vic,Disposal,24900665.508310694
2010,Vic,Energy recovery,3022277.624622602
2010,Vic,Long-term storage,8753032.083948746
2010,Vic,Recycling,45811360.42386348
2010,WA,Disposal,17459603.037903614
2010,WA,Energy recovery,989082.4472743962
2010,WA,Long-term storage,1778234.879291799
2010,WA,Recycling,15596673.012695735
2011,ACT,Disposal,51222.43946953245
2011,ACT,Energy recovery,6962.836918952551
2011,ACT,Recycling,36665.53911063785
2011,NSW,Disposal,4555741.939823765
2011,NSW,Energy recovery,443916.0482683705
2011,NSW,Recycling,2674925.8030581777
2011,NT,Disposal,86797.68402976496
2011,NT,Energy recovery,12474.431899087405
2011,NT,Recycling,103083.2304023618
2011,Qld,Disposal,3632212.6121140593
2011,Qld,Energy recovery,199204.50394554302
2011,Qld,Recycling,3264937.444208894
2011,SA,Disposal,3371414.286650264
2011,SA,Energy recovery,110835.36339558742
2011,SA,Recycling,1717423.5891429023
2011,Tas,Disposal,455902.85829546914
2011,Tas,Energy recovery,17056.276819062066
2011,Tas,Recycling,1281737.1375220036
2011,Vic,Disposal,3567068.1365163596
2011,Vic,Energy recovery,242323.40455660445
2011,Vic,Recycling,2401726.9644911718
2011,WA,Disposal,854156.1055201822
2011,WA,Energy recovery,127750.59409489555
2011,WA,Recycling,2416447.9673029543
2012,ACT,Disposal,58897.04579221683
2012,ACT,Energy recovery,7116.19578094331
2012,ACT,Recycling,37482.49053037077
2012,NSW,Disposal,6859292.415789322
2012,NSW,Energy recovery,408996.3094907291
2012,NSW,Recycling,2903800.969906724
2012,NT,Disposal,89245.04947710336
2012,NT,Energy recovery,12832.334158620335
2012,NT,Recycling,106040.7160758016
2012,Qld,Disposal,4865365.035882916
2012,Qld,Energy recovery,217918.41945079857
2012,Qld,Recycling,4474474.97472353
2012,SA,Disposal,1841552.2229013091
2012,SA,Energy recovery,119243.70171615406
2012,SA,Recycling,1317429.4350911365
2012,Tas,Disposal,455762.6835844554
2012,Tas,Energy recovery,17064.7742998937
2012,Tas,Recycling,1280617.5625172039
2012,Vic,Disposal,3684961.9265481965
2012,Vic,Energy recovery,255324.2523747197
2012,Vic,Recycling,2769549.421760944
2012,WA,Disposal,1078104.4000108365
2012,WA,Energy recovery,141393.8829334651
2012,WA,Recycling,2500482.90027155
2013,ACT,Disposal,1031800.0022269508
2013,ACT,Energy recovery,193590.99715140616
2013,ACT,Recycling,2458439.6486936463
2013,NSW,Disposal,33478856.62471119
2013,NSW,Energy recovery,2909132.1731351684
2013,NSW,Long-term storage,6758792.3181678895
2013,NSW,Recycling,73921545.96574229
2013,NT,Disposal,2156500.338585589
2013,NT,Energy recovery,99999.29888862857
2013,NT,Recycling,344424.22191708465
2013,Qld,Disposal,26157164.427570187
2013,Qld,Energy recovery,2446907.0710534113
2013,Qld,Long-term storage,19413596.365660686
2013,Qld,Recycling,22903296.60763655
2013,SA,Disposal,4102275.1700622933
2013,SA,Energy recovery,997598.1427587096
2013,SA,Long-term storage,1637794.6796432044
2013,SA,Recycling,13196559.584316034
2013,Tas,Disposal,2043797.6896415895
2013,Tas,Energy recovery,269497.53892587946
2013,Tas,Recycling,2555720.880002982
2013,Vic,Disposal,19358028.676250093
2013,Vic,Energy recovery,4879239.050976356
2013,Vic,Long-term storage,8065123.4454602115
2013,Vic,Recycling,45839735.445981175
2013,WA,Disposal,13136212.12790563
2013,WA,Energy recovery,1205067.0756308883
