Year,Jurisdiction,Type,Stream,Fate,Tonnes
2006,ACT,Acids (B),C&D,Disposal,0.0
2006,ACT,Acids (B),C&D,Energy recovery,0.0
2006,ACT,Acids (B),C&D,Recycling,0.0
2006,ACT,Acids (B),C&I,Disposal,0.07618595119351936
2006,ACT,Acids (B),C&I,Energy recovery,0.0
2006,ACT,Acids (B),C&I,Recycling,0.16876222878381153
2006,ACT,Acids (B),Total,Disposal,0.07618595119351936
2006,ACT,Acids (B),Total,Energy recovery,0.0
2006,ACT,Acids (B),Total,Recycling,0.16876222878381153
2006,ACT,Alkalis (C),C&D,Disposal,0.0
2006,ACT,Alkalis (C),C&D,Energy recovery,0.0
2006,ACT,Alkalis (C),C&D,Recycling,0.0
2006,ACT,Alkalis (C),C&I,Disposal,0.1711127207628978
2006,ACT,Alkalis (C),C&I,Energy recovery,0.0
2006,ACT,Alkalis (C),C&I,Recycling,1.2393647476850334
2006,ACT,Alkalis (C),Total,Disposal,0.1711127207628978
2006,ACT,Alkalis (C),Total,Energy recovery,0.0
2006,ACT,Alkalis (C),Total,Recycling,1.2393647476850334
2006,ACT,Aluminium,C&D,Recycling,0.0
2006,ACT,Aluminium,C&I,Recycling,0.0
2006,ACT,Aluminium,MSW,Recycling,0.0
2006,ACT,Aluminium,Total,Recycling,1376.0
2006,ACT,Asbestos (N220),C&D,Disposal,200.59256978583247
2006,ACT,Asbestos (N220),C&D,Energy recovery,0.0
2006,ACT,Asbestos (N220),C&D,Recycling,0.2874302141675471
2006,ACT,Asbestos (N220),C&I,Disposal,170.87515203978322
2006,ACT,Asbestos (N220),C&I,Energy recovery,0.0
2006,ACT,Asbestos (N220),C&I,Recycling,0.24484796021679933
2006,ACT,Asbestos (N220),Total,Disposal,371.4677218256157
2006,ACT,Asbestos (N220),Total,Energy recovery,0.0
2006,ACT,Asbestos (N220),Total,Recycling,0.5322781743843464
2006,ACT,Asphalt,C&D,Recycling,0.0
2006,ACT,Asphalt,C&I,Recycling,0.0
2006,ACT,Asphalt,MSW,Recycling,0.0
2006,ACT,Biosolids,C&I,Disposal,20142.591800994545
2006,ACT,Biosolids,C&I,Recycling,0.0
2006,ACT,Biosolids,Total,Disposal,20142.591800994545
2006,ACT,Biosolids,Total,Recycling,0.0
2006,ACT,"Bricks, concrete and pavers",C&D,Recycling,0.0
2006,ACT,"Bricks, concrete and pavers",C&I,Recycling,0.0
2006,ACT,"Bricks, concrete and pavers",MSW,Recycling,0.0
2006,ACT,Clinical and pharmaceutical (R),C&D,Disposal,0.0
2006,ACT,Clinical and pharmaceutical (R),C&D,Energy recovery,0.0
2006,ACT,Clinical and pharmaceutical (R),C&D,Recycling,0.0
2006,ACT,Clinical and pharmaceutical (R),C&I,Disposal,197.8463321159122
2006,ACT,Clinical and pharmaceutical (R),C&I,Energy recovery,0.0
2006,ACT,Clinical and pharmaceutical (R),C&I,Recycling,1.7767641976344746
2006,ACT,Clinical and pharmaceutical (R),Total,Disposal,197.8463321159122
2006,ACT,Clinical and pharmaceutical (R),Total,Energy recovery,0.0
2006,ACT,Clinical and pharmaceutical (R),Total,Recycling,1.7767641976344746
2006,ACT,Contaminated soils (N120),C&D,Disposal,167.68115673180648
2006,ACT,Contaminated soils (N120),C&D,Energy recovery,0.0
2006,ACT,Contaminated soils (N120),C&D,Recycling,10.149773962198868
2006,ACT,Contaminated soils (N120),C&I,Disposal,65.20933872903586
2006,ACT,Contaminated soils (N120),C&I,Energy recovery,0.0
2006,ACT,Contaminated soils (N120),C&I,Recycling,3.9471343186328935
2006,ACT,Contaminated soils (N120),Total,Disposal,232.89049546084235
2006,ACT,Contaminated soils (N120),Total,Energy recovery,0.0
2006,ACT,Contaminated soils (N120),Total,Recycling,14.096908280831762
2006,ACT,Food organics,C&D,Disposal,513.0
2006,ACT,Food organics,C&D,Energy recovery,275.0
2006,ACT,Food organics,C&D,Recycling,0.0
2006,ACT,Food organics,C&I,Disposal,5731.0
2006,ACT,Food organics,C&I,Energy recovery,3070.0
2006,ACT,Food organics,C&I,Recycling,0.0
2006,ACT,Food organics,MSW,Disposal,30174.0
2006,ACT,Food organics,MSW,Energy recovery,16161.0
2006,ACT,Food organics,MSW,Recycling,0.0
2006,ACT,Food organics,Total,Disposal,36418.0
2006,ACT,Food organics,Total,Energy recovery,19505.0
2006,ACT,Food organics,Total,Recycling,0.0
2006,ACT,"Food-derived hazardous wastes (K100, K110)",C&D,Disposal,0.0
