Year,Jurisdiction,Category,Stream,Fate,Tonnes
2006,ACT,Biosolids,C&I,Disposal,60427.775402983636
2006,ACT,Biosolids,C&I,Recycling,0.0
2006,ACT,Biosolids,Total,Disposal,60427.775402983636
2006,ACT,Biosolids,Total,Recycling,0.0
2006,ACT,Building and demolition materials,C&D,Disposal,6928.0
2006,ACT,Building and demolition materials,C&D,Recycling,0.0
2006,ACT,Building and demolition materials,C&I,Disposal,1547.0
2006,ACT,Building and demolition materials,C&I,Recycling,0.0
2006,ACT,Building and demolition materials,MSW,Disposal,1570.0
2006,ACT,Building and demolition materials,MSW,Recycling,0.0
2006,ACT,Building and demolition materials,Total,Disposal,10045.0
2006,ACT,Building and demolition materials,Total,Recycling,162608.0
2006,ACT,Glass,C&D,Disposal,283.0
2006,ACT,Glass,C&D,Recycling,0.0
2006,ACT,Glass,C&I,Disposal,2805.0
2006,ACT,Glass,C&I,Recycling,0.0
2006,ACT,Glass,MSW,Disposal,4593.0
2006,ACT,Glass,MSW,Recycling,0.0
2006,ACT,Glass,Total,Disposal,7681.0
2006,ACT,Glass,Total,Recycling,23580.0
2006,ACT,Hazardous wastes,C&D,Disposal,1104.8211795529169
2006,ACT,Hazardous wastes,C&D,Energy recovery,0.0
2006,ACT,Hazardous wastes,C&D,Recycling,31.31161252909925
2006,ACT,Hazardous wastes,C&I,Disposal,10349.978075589514
2006,ACT,Hazardous wastes,C&I,Energy recovery,3168.5019586820877
2006,ACT,Hazardous wastes,C&I,Recycling,16636.687522663844
2006,ACT,Hazardous wastes,Total,Disposal,11454.79925514243
2006,ACT,Hazardous wastes,Total,Energy recovery,3168.5019586820877
2006,ACT,Hazardous wastes,Total,Recycling,16667.999135192942
2006,ACT,Metals,C&D,Disposal,1071.0
2006,ACT,Metals,C&D,Recycling,0.0
2006,ACT,Metals,C&I,Disposal,2660.0
2006,ACT,Metals,C&I,Recycling,0.0
2006,ACT,Metals,MSW,Disposal,2965.0
2006,ACT,Metals,MSW,Recycling,0.0
2006,ACT,Metals,Total,Disposal,6695.0
2006,ACT,Metals,Total,Recycling,63072.0
2006,ACT,Organics,C&D,Disposal,8927.0
2006,ACT,Organics,C&D,Energy recovery,1340.0
2006,ACT,Organics,C&D,Recycling,0.0
2006,ACT,Organics,C&I,Disposal,44494.0
2006,ACT,Organics,C&I,Energy recovery,8698.0
2006,ACT,Organics,C&I,Recycling,0.0
2006,ACT,Organics,MSW,Disposal,87626.0
2006,ACT,Organics,MSW,Energy recovery,34463.0
2006,ACT,Organics,MSW,Recycling,0.0
2006,ACT,Organics,Total,Disposal,141046.0
2006,ACT,Organics,Total,Energy recovery,44497.0
2006,ACT,Organics,Total,Recycling,459332.0
2006,ACT,Paper & cardboard,C&D,Disposal,715.0
2006,ACT,Paper & cardboard,C&D,Energy recovery,419.0
2006,ACT,Paper & cardboard,C&D,Recycling,0.0
2006,ACT,Paper & cardboard,C&I,Disposal,14328.0
2006,ACT,Paper & cardboard,C&I,Energy recovery,8399.0
2006,ACT,Paper & cardboard,C&I,Recycling,0.0
2006,ACT,Paper & cardboard,MSW,Disposal,8650.0
2006,ACT,Paper & cardboard,MSW,Energy recovery,5070.0
2006,ACT,Paper & cardboard,MSW,Recycling,0.0
2006,ACT,Paper & cardboard,Total,Disposal,23693.0
2006,ACT,Paper & cardboard,Total,Energy recovery,13888.0
2006,ACT,Paper & cardboard,Total,Recycling,44002.0
2006,ACT,Plastics,C&D,Disposal,1071.0
2006,ACT,Plastics,C&D,Recycling,0.0
2006,ACT,Plastics,C&I,Disposal,14265.0
2006,ACT,Plastics,C&I,Recycling,338.0
2006,ACT,Plastics,MSW,Disposal,10697.0
2006,ACT,Plastics,MSW,Recycling,827.0
2006,ACT,Plastics,Total,Disposal,26033.0
2006,ACT,Plastics,Total,Recycling,1165.0
2006,ACT,"Textiles, leather & rubber (excl. tyres)",C&D,Disposal,1812.0
2006,ACT,"Textiles, leather & rubber (excl. tyres)",C&D,Energy recovery,1054.0
2006,ACT,"Textiles, leather & rubber (excl. tyres)",C&D,Recycling,0.0
2006,ACT,"Textiles, leather & rubber (excl. tyres)",C&I,Disposal,9234.0
2006,ACT,"Textiles, leather & rubber (excl. tyres)",C&I,Energy recovery,5369.0
2006,ACT,"Textiles, leather & rubber (excl. tyres)",C&I,Recycling,0.0
2006,ACT,"Textiles, leather & rubber (excl. tyres)",MSW,Disposal,3198.0
2006,ACT,"Textiles, leather & rubber (excl. tyres)",MSW,Energy recovery,1860.0
2006,ACT,"Textiles, leather & rubber (excl. tyres)",MSW,Recycling,0.0
2006,ACT,"Textiles, leather & rubber (excl. tyres)",Total,Disposal,14245.0
2006,ACT,"Textiles, leather & rubber (excl. tyres)",Total,Energy recovery,8282.0
2006,ACT,"Textiles, leather & rubber (excl. tyres)",Total,Recycling,8010.0
2006,ACT,Total,C&D,Disposal,16343.0
2006,ACT,Total,C&D,Energy recovery,2142.0
2006,ACT,Total,C&D,Recycling,162608.0
2006,ACT,Total,C&I,Disposal,67086.0
2006,ACT,Total,C&I,Energy recovery,18116.0
2006,ACT,Total,C&I,Recycling,214866.0
2006,ACT,Total,MSW,Disposal,75486.0
2006,ACT,Total,MSW,Energy recovery,24161.0
2006,ACT,Total,MSW,Recycling,107902.0
2006,ACT,Total,Total,Disposal,158915.0
2006,ACT,Total,Total,Energy recovery,44419.0
2006,ACT,Total,Total,Recycling,485376.0
2006,ACT,Unclassified materials,C&D,Disposal,0.0
2006,ACT,Unclassified materials,C&D,Energy recovery,0.0
2006,ACT,Unclassified materials,C&D,Recycling,0.0
2006,ACT,Unclassified materials,C&I,Disposal,0.0
