Year,Jurisdiction,Type,Stream,Management,Fate,Tonnes
2006,ACT,Chemicals,C&D,Landfill,Disposal,0.0
2006,ACT,Chemicals,C&D,Other disposal,Disposal,0.0
2006,ACT,Chemicals,C&D,Recycling,Recycling,0.0
2006,ACT,Chemicals,C&D,Treatment,Disposal,0.0
2006,ACT,Chemicals,C&D,Treatment,Energy recovery,0.0
2006,ACT,Chemicals,C&D,Treatment,Recycling,0.0
2006,ACT,Chemicals,C&I,Landfill,Disposal,220.0
2006,ACT,Chemicals,C&I,Other disposal,Disposal,60.0
2006,ACT,Chemicals,C&I,Recycling,Recycling,4000.0
2006,ACT,Chemicals,C&I,Treatment,Disposal,675.0
2006,ACT,Chemicals,C&I,Treatment,Energy recovery,134.0
2006,ACT,Chemicals,C&I,Treatment,Recycling,1171.0
2006,ACT,Chemicals,Total,Landfill,Disposal,220.0
2006,ACT,Chemicals,Total,Other disposal,Disposal,60.0
2006,ACT,Chemicals,Total,Recycling,Recycling,4000.0
2006,ACT,Chemicals,Total,Treatment,Disposal,675.0
2006,ACT,Chemicals,Total,Treatment,Energy recovery,134.0
2006,ACT,Chemicals,Total,Treatment,Recycling,1171.0
2006,ACT,Construction Waste,C&D,Energy from waste facility,Energy recovery,0.0
2006,ACT,Construction Waste,C&D,Landfill,Disposal,3477.0
2006,ACT,Construction Waste,C&D,Landfill,Energy recovery,365.0
2006,ACT,Construction Waste,C&D,Recycling,Recycling,0.0
2006,ACT,Construction Waste,C&I,Energy from waste facility,Energy recovery,0.0
2006,ACT,Construction Waste,C&I,Landfill,Disposal,5952.0
2006,ACT,Construction Waste,C&I,Landfill,Energy recovery,625.0
2006,ACT,Construction Waste,C&I,Recycling,Recycling,0.0
2006,ACT,Construction Waste,MSW,Energy from waste facility,Energy recovery,0.0
2006,ACT,Construction Waste,MSW,Landfill,Disposal,1473.0
2006,ACT,Construction Waste,MSW,Landfill,Energy recovery,155.0
2006,ACT,Construction Waste,MSW,Recycling,Recycling,0.0
2006,ACT,Construction Waste,Total,Energy from waste facility,Energy recovery,0.0
2006,ACT,Construction Waste,Total,Landfill,Disposal,10902.0
2006,ACT,Construction Waste,Total,Landfill,Energy recovery,1144.0
2006,ACT,Construction Waste,Total,Recycling,Recycling,31036.0
2006,ACT,Glass,C&D,Recycling,Recycling,0.0
2006,ACT,Glass,C&I,Recycling,Recycling,0.0
2006,ACT,Glass,MSW,Recycling,Recycling,0.0
2006,ACT,Glass,Total,Recycling,Recycling,11790.0
2006,ACT,Metals,C&D,Recycling,Recycling,0.0
2006,ACT,Metals,C&I,Recycling,Recycling,0.0
2006,ACT,Metals,MSW,Recycling,Recycling,0.0
2006,ACT,Metals,Total,Recycling,Recycling,31536.0
2006,ACT,Miscellaneous,C&D,Landfill,Disposal,365.0
2006,ACT,Miscellaneous,C&D,Other disposal,Disposal,1.0
2006,ACT,Miscellaneous,C&D,Recycling,Recycling,1.0
2006,ACT,Miscellaneous,C&D,Treatment,Disposal,3.0
2006,ACT,Miscellaneous,C&D,Treatment,Energy recovery,0.0
