Year,Jurisdiction,Tonnes
2006,ACT,1768230.0
2006,NSW,59180341.0
2006,NT,247275.0
2006,Qld,18870513.0
2006,SA,11228959.0
2006,Tas,1655064.0
2006,Vic,37753561.0
2006,WA,10924327.0
2007,ACT,33904.0
2007,NSW,2171998.0
2007,NT,95935.0
2007,Qld,2775465.0
2007,SA,881136.0
2007,Tas,1242618.0
2007,Vic,2182232.0
2007,WA,1896143.0
2008,ACT,1821054.0
2008,NSW,60498120.0
2008,NT,255283.0
2008,Qld,19047923.0
2008,SA,11841463.0
2008,Tas,1679812.0
2008,Vic,37167012.0
2008,WA,10650563.0
2009,ACT,1823798.0
2009,NSW,65055996.0
2009,NT,233507.0
2009,Qld,17468195.0
2009,SA,11689876.0
2009,Tas,2014196.0
2009,Vic,44877288.0
2009,WA,12816698.0
2010,ACT,2529795.0
2010,NSW,73699333.0
2010,NT,236043.0
2010,Qld,19535575.0
2010,SA,14133093.0
2010,Tas,2130539.0
2010,Vic,45811360.0
2010,WA,15596673.0
2011,ACT,36666.0
2011,NSW,2674926.0
2011,NT,103083.0
2011,Qld,3264937.0
2011,SA,1717424.0
2011,Tas,1281737.0
2011,Vic,2401727.0
2011,WA,2416448.0
2012,ACT,37482.0
2012,NSW,2903801.0
2012,NT,106041.0
2012,Qld,4474475.0
2012,SA,1317429.0
2012,Tas,1280618.0
2012,Vic,2769549.0
2012,WA,2500483.0
2013,ACT,2458440.0
2013,NSW,73921546.0
2013,NT,344424.0
2013,Qld,22903297.0
2013,SA,13196560.0
2013,Tas,2555721.0
2013,Vic,45839735.0
2013,WA,23101335.0
2014,ACT,1941109.0
2014,NSW,88168582.0
2014,NT,379079.0
2014,Qld,22609726.0
2014,SA,13678568.0
2014,Tas,2521587.0
2014,Vic,49262407.0
2014,WA,22532854.0
2015,ACT,2345695.0
2015,NSW,86607798.0
2015,NT,181751.0
2015,Qld,24048425.0
2015,SA,19767945.0
2015,Tas,3200668.0
2015,Vic,51489438.0
2015,WA,21755138.0
2016,ACT,1857482.0
2016,NSW,99580528.0
2016,NT,257344.0
2016,Qld,26475845.0
2016,SA,19941188.0
2016,Tas,2644561.0
2016,Vic,52957061.0
2016,WA,22015813.0
2017,ACT,2436754.0
2017,NSW,102447969.0
2017,NT,296245.0
2017,Qld,37339915.0
2017,SA,21741042.0
2017,Tas,1938193.0
2017,Vic,63052670.0
2017,WA,22522386.0
2018,ACT,3300747.0
2018,Australia,18209.0
2018,NSW,96762324.0
2018,NT,526584.0
2018,Qld,41280610.0
2018,SA,21169879.0
2018,Tas,2610687.0
2018,Vic,68447879.0
2018,WA,24497083.0
2019,ACT,3412936.0
2019,NSW,96867317.0
2019,NT,345384.0
2019,Qld,35807318.0
2019,SA,21792997.0
2019,Tas,2455054.0
2019,Vic,69630677.0
2019,WA,28065408.0
2020,ACT,3094787.0
2020,Australia,34310149.0
2020,NSW,83901781.0
2020,NT,446011.0
2020,Qld,33416907.0
2020,SA,24398172.0
2020,Tas,2277360.0
2020,Vic,70932814.0
2020,WA,29671838.0
